Mapping file: gcpt_meas_lab_loinc_mod.csv

Found 685 relevant mappings in tokenizer. Please try to manually map this file!!!



Found codes in tokenizer:
Code                                                         Domain                                                       OMOP Code                                                   
51000                                                        Measurement                                                  3022192                                                     
51001                                                        Measurement                                                  3010340                                                     
51002                                                        Measurement                                                  3021337                                                     
51003                                                        Measurement                                                  3019800                                                     
51005                                                        Measurement                                                  3021717                                                     
51006                                                        Measurement                                                  3013682                                                     
51007                                                        Measurement                                                  3037556                                                     
51008                                                        Measurement                                                  3016201                                                     
51009                                                        Measurement                                                  3005715                                                     
51010                                                        Measurement                                                  3000593                                                     
51022                                                        Measurement                                                  3001978                                                     
51024                                                        Measurement                                                  3036670                                                     
51025                                                        Measurement                                                  3025313                                                     
51026                                                        Measurement                                                  3012133                                                     
51028                                                        Measurement                                                  3028193                                                     
51030                                                        Measurement                                                  3013194                                                     
51031                                                        Measurement                                                  3015232                                                     
51032                                                        Measurement                                                  3016662                                                     
51033                                                        Measurement                                                  3036848                                                     
51034                                                        Measurement                                                  3019210                                                     
51035                                                        Measurement                                                  3008338                                                     
51036                                                        Measurement                                                  3026286                                                     
51043                                                        Measurement                                                  3005029                                                     
51044                                                        Measurement                                                  3000637                                                     
51045                                                        Measurement                                                  3019930                                                     
51047                                                        Measurement                                                  3015401                                                     
51053                                                        Measurement                                                  3003403                                                     
51059                                                        Measurement                                                  3003434                                                     
51060                                                        Measurement                                                  3034207                                                     
51061                                                        Measurement                                                  3014637                                                     
51063                                                        Measurement                                                  3007256                                                     
51064                                                        Measurement                                                  3005819                                                     
51065                                                        Measurement                                                  3011846                                                     
51066                                                        Measurement                                                  3007687                                                     
51067                                                        Measurement                                                  3004239                                                     
51068                                                        Measurement                                                  3020876                                                     
51069                                                        Measurement                                                  3000034                                                     
51071                                                        Measurement                                                  3000144                                                     
51074                                                        Measurement                                                  3005058                                                     
51075                                                        Measurement                                                  3007682                                                     
51077                                                        Measurement                                                  3006661                                                     
51078                                                        Measurement                                                  3007733                                                     
51080                                                        Measurement                                                  3005770                                                     
51081                                                        Measurement                                                  3016723                                                     
51082                                                        Measurement                                                  3017250                                                     
51083                                                        Measurement                                                  3010109                                                     
51084                                                        Measurement                                                  3020399                                                     
51085                                                        Measurement                                                  3018954                                                     
51086                                                        Measurement                                                  3017704                                                     
51087                                                        Measurement                                                  3016750                                                     
51088                                                        Measurement                                                  3019738                                                     
51089                                                        Measurement                                                  3028064                                                     
51090                                                        Measurement                                                  3036180                                                     
51091                                                        Measurement                                                  3011470                                                     
51092                                                        Measurement                                                  3015208                                                     
51093                                                        Measurement                                                  3026782                                                     
51094                                                        Measurement                                                  3015736                                                     
